Model,Approach,Features,Accuracy,F1 Score,Training Time,Prediction Time
SVM,All Features,27,0.7409948542024014,0.7411584590894698,0.042934417724609375,0.03937411308288574
RandomForest,All Features,27,0.7890222984562607,0.7890960945866153,0.3571615219116211,0.008802652359008789
KNN,All Features,27,0.7478559176672385,0.7453860205574953,0.0013403892517089844,0.23140788078308105
SVM,Genetic Algorithm,13,0.6638078902229846,0.6606674234601881,0.03255653381347656,0.028423070907592773
RandomForest,Genetic Algorithm,13,0.7701543739279588,0.7699569421924684,0.2661092281341553,0.009246349334716797
KNN,Genetic Algorithm,13,0.6878216123499142,0.6870249480222609,0.002180814743041992,0.017912626266479492
SVM,PSO,10,0.7015437392795884,0.6993617393319136,0.025399208068847656,0.025328636169433594
RandomForest,PSO,10,0.7530017152658662,0.7532439052183314,0.23075079917907715,0.009142398834228516
KNN,PSO,10,0.7084048027444254,0.7109736342946186,0.0019130706787109375,0.01770949363708496
